Day,Month,Group-ID,Bout-ID,Tree ID ,Tree Local name,Tree Genus,Tree Species,Tree family,Individuum-ID,Behaviour code ,size-sugar,hardness-sugar,colour1-sugar,colour2-sugar,scent1-sugar,scent2-sugar,variation-size,variation-hardness,variation-colour1,variation-colour2,variation-scent 
29,6,1,23,A6,Fohaninasity,Psychotria,reducta,Rubiaceae,1,R,0.2638136,0.1000804,-0.1751,-0.2964,-0.006577694,0.1574547,0.10774,0.79329,4.45E+15,-2.47E+15,0.7486506
29,6,1,23,A6,Fohaninasity,Psychotria,reducta,Rubiaceae,2,R,0.2638136,0.1000804,-0.1751,-0.2964,-0.006577694,0.1574547,0.10774,0.79329,4.45E+15,-2.47E+15,0.7486506
29,6,1,23,A6,Fohaninasity,Psychotria,reducta,Rubiaceae,3,L,0.2638136,0.1000804,-0.1751,-0.2964,-0.006577694,0.1574547,0.10774,0.79329,4.45E+15,-2.47E+15,0.7486506
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,1,R,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,2,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,3,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,1,R,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,2,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,3,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,1,R,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,2,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,3,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,1,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,2,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,3,L,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,1,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,2,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,3,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,1,R,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,2,R,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,3,S,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,1,R,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,2,R,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,3,T,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
29,6,1,28,A9,Guave,Psidium,cattleianum,Murtaceae,1,R,-0.1651828,0.1234744,-0.5526,x,0.2346492,-0.2688609,0.13184,0.65656,-5.16E+15,x,0.783091
